index,F,E0,mag,vol,nFe,nCo,nS
1087,-59.672586,-59.666743,6.9733,141.53,2,4,4
1088,-55.745349,-55.742492,8.624,90.42,4,2,2
1089,-69.75795,-69.75262,3.8867,118.8,6,1,3
1090,-137.2748,-137.26819,3.7817,432.98,1,8,16
1091,-60.528882,-60.523474,0.1975,153.26,1,4,5
1092,-171.92396,-171.91622,6.2205,386,8,4,16
1093,-50.736602,-50.73296,2.6157,122.62,3,1,4
1094,-272.89968,-272.87549,33.0212,499.65,6,24,12
1095,-163.28712,-163.27868,5.8991,401.47,7,4,16
1096,-42.24769,-42.243831,0.0219,119.19,2,1,4
1097,-24.755225,-24.753492,3.0339,63.27,1,2,1
1098,-149.89179,-149.88861,6.0005,427.63,4,6,16
1099,-68.322034,-68.314724,5.3865,202.01,3,1,8
1100,-148.13366,-148.12223,4.1595,376.96,4,8,12
1101,-172.22693,-172.21648,3.7291,397.54,8,4,16
1102,-204.8217,-204.81154,3.9082,480.41,2,13,20
1103,-522.03309,-522.00719,33.1096,1289.54,24,16,44
1104,-513.79146,-513.75355,81.3386,959.94,12,48,20
1105,-130.96904,-130.96306,0,333.77,4,6,12
1106,-391.55002,-391.52055,2.8118,829.44,4,30,30
1107,-175.18302,-175.16993,0.8954,547.82,6,6,18
1108,-163.60099,-163.59719,14.6963,394.17,4,8,16
1109,-455.39028,-455.3704,44.5263,1065.44,30,4,38
1110,-144.63592,-144.62966,0.0002,414.62,2,8,16
1111,-74.223284,-74.217814,0.0008,169.52,2,4,6
1112,-85.944116,-85.936053,1.9992,197.16,4,2,8
1113,-215.03653,-215.02124,5.8784,505.75,9,9,16
1114,-327.69476,-327.67413,3.3947,839.4,8,16,32
1115,-242.21688,-242.20104,13.351,605.54,12,4,24
1116,-215.35459,-215.34211,45.9879,336.61,21,2,6
1117,-41.708105,-41.705021,0.0006,129.78,1,2,4
1118,-56.32033,-56.314685,0.2836,126.83,1,4,4
1119,-41.698406,-41.694182,0.4616,124.53,2,1,4
1120,-60.082636,-60.077297,0.0204,152.67,4,2,4
1121,-232.63176,-232.61672,6.7805,631.28,4,12,24
1122,-78.514463,-78.510591,0.0106,135.62,2,6,4
1123,-110.54434,-110.53574,18.1279,177.22,6,6,4
1124,-143.37418,-143.36445,33.2638,238.86,12,4,4
1125,-167.02778,-167.01744,4.4295,423.17,2,8,20
1126,-228.07476,-228.05392,25.3988,446.47,4,20,12
1127,-218.24089,-218.22683,15.7327,461.49,7,12,16
1128,-337.07033,-337.05311,5.6484,825.11,16,8,32
1129,-54.362536,-54.357407,2.3424,143.49,2,2,5
1130,-194.27248,-194.26333,15.4069,491.53,11,3,18
1131,-193.8415,-193.82573,32.0944,328.16,3,20,6
1132,-153.31174,-153.30015,0.2254,344.87,8,4,12
1133,-84.572622,-84.563282,0.0476,201.64,3,3,8
1134,-432.81264,-432.77619,4.4791,1356.83,26,6,42
1135,-123.55661,-123.55201,10.5966,197.81,9,3,6
1136,-83.426774,-83.42325,20.3786,141.46,4,6,2
1137,-24.900721,-24.898512,1.5604,56.96,1,1,2
1138,-175.80986,-175.80145,12.873,383.2,11,1,16
1139,-225.87469,-225.86475,18.1635,456.09,12,7,16
1140,-134.2514,-134.23939,0.0254,356.48,6,4,12
1141,-152.81792,-152.8112,3.7396,426.13,1,10,16
1142,-147.37376,-147.36157,0.1862,379.72,4,8,12
1143,-58.462414,-58.460497,15.9122,93.21,4,3,1
1144,-78.313622,-78.307266,3.7019,187.48,4,1,8
1145,-602.98682,-602.94439,4.4097,1599.13,30,8,64
1146,-162.53989,-162.52722,15.4189,434.59,4,8,16
1147,-106.99431,-106.99014,1.3324,282.33,1,6,12
1148,-337.10877,-337.09133,8.4824,844.34,16,8,32
1149,-96.347416,-96.340013,12,219,4,4,8
1150,-35.779723,-35.776459,0.0247,90.94,1,2,3
1151,-353.94876,-353.92638,4.7416,851.36,10,17,32
