index,F,E0,mag,vol,nFe,nCo,nS,Eform,Ehull,Js
1149,-96.347416,-96.340013,12.000000,219.000000,4,4,8,-0.155204,0.395618,0.638579
1150,-35.779723,-35.776459,0.024700,90.940000,1,2,3,-0.215747,0.349007,0.003165
1151,-353.948760,-353.926380,4.741600,851.360000,10,17,32,-0.364566,0.194641,0.064907
1152,-73.402776,-73.396055,2.739900,199.950000,1,4,8,-0.345241,0.159581,0.159695
1153,-41.555984,-41.553526,2.249900,100.900000,1,2,4,-0.420204,0.130688,0.259866
1154,-58.105346,-58.100481,0.006700,127.350000,1,4,5,-0.158292,0.417608,0.000613
1155,-365.735430,-365.705030,73.830000,554.020000,36,8,4,0.110473,0.264691,1.553048
1156,-73.277809,-73.270900,0.209000,183.530000,2,4,6,-0.358912,0.205842,0.013271
1157,-67.007537,-67.004356,2.984600,205.740000,2,2,8,-0.296292,0.178982,0.169062
1158,-46.798470,-46.793043,4.869900,106.370000,1,3,4,-0.161659,0.410061,0.533554
1159,-60.493341,-60.489368,3.929600,153.890000,1,4,5,-0.397181,0.178719,0.297588
1160,-158.512060,-158.504980,4.051300,391.210000,3,8,16,-0.458254,0.073398,0.120687
1161,-215.803870,-215.789440,2.493600,517.250000,9,9,16,-0.378588,0.162021,0.056183
1162,-308.874700,-308.850900,2.369900,597.210000,20,8,18,-0.284389,0.167103,0.046247
1163,-73.443987,-73.435729,1.213600,195.950000,1,4,8,-0.348293,0.156529,0.072178
1164,-118.596100,-118.590860,12.026600,292.430000,6,2,12,-0.267822,0.262664,0.479290
1165,-63.940502,-63.935031,2.110500,153.340000,4,1,5,-0.313166,0.212579,0.160401
1166,-67.711649,-67.708545,3.935100,212.820000,3,1,8,-0.235924,0.260176,0.215487
1167,-120.789090,-120.776320,0.789500,305.390000,2,8,10,-0.387060,0.188840,0.030128
1168,-128.621700,-128.613560,11.636000,250.910000,4,8,8,-0.360306,0.147781,0.540459
